TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,Rn_1_1_1,SWout_1_1_1,LWout_1_1_1,Ts_3_1_1,Ts_3_2_1,SWC_3_1_1,SWC_3_2_1,SHF_1_1_1,SHF_1_1_2,SHF_2_1_1,SHF_2_1_2,P_1_1_1,Rg_1_1_1,LWin_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,W+1m-2,W+1m-2,W+1m-2,C,C,m3 m-3,m3 m-3,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm,W+1m-2,W+1m-2
2024-12-02 0200,-4.175,80.14533333,0,-11.00763,0.7163352,297.4631,1.145089,1.382777,0.5453824,0.4313243,-10.2832,-10.82803,-11.22746,-10.73812,0,-0.1476027,287.3194
2024-12-02 0230,-3.736,77.888,0,-9.020129,0.440197,298.808,1.16597,1.397859,0.5451971,0.431305,-10.21918,-10.80436,-11.21833,-10.79377,0,-0.204485,290.4325
2024-12-02 0300,-3.473666667,77.20333333,0,-11.72226,0.4000332,299.5151,1.175681,1.403815,0.5449889,0.43129,-10.12972,-10.76513,-11.18281,-10.81622,0,-0.3637623,288.5566
2024-12-02 0330,-3.454,78.343,0,-25.06006,0.4044359,299.4141,1.184751,1.408058,0.5448399,0.4312665,-10.03756,-10.72992,-11.14165,-10.82333,0,-1.053067,275.8116
2024-12-02 0400,-3.185666667,79.14333333,0.003333333,-26.10339,0.4595321,299.0924,1.203939,1.419505,0.5445839,0.4312444,-9.959965,-10.70514,-11.11393,-10.83079,0,-1.133662,274.5822
2024-12-02 0430,-2.936,79.65866667,0,-19.44965,0.420817,301.1626,1.180601,1.395524,0.5444096,0.431223,-9.906392,-10.70058,-11.1115,-10.84588,0,-0.7565151,282.8903
2024-12-02 0500,-3.038,82.996,0,-14.48273,0.2662539,302.8939,1.166785,1.38084,0.5442852,0.4312001,-9.866638,-10.73654,-11.10991,-10.86217,0,-0.5797192,289.2571
2024-12-02 0530,-3.587333333,85.43333333,0.006666667,-11.09112,0.07700384,303.1182,1.18938,1.402713,0.5441181,0.4311759,-9.822233,-10.72861,-11.08878,-10.87241,0,-1.553305,293.6574
2024-12-02 0600,-4.420666667,76.54533333,0,-10.43831,-0.1276809,301.383,1.214435,1.42454,0.5439755,0.4311495,-9.77689,-10.72738,-11.05581,-10.87061,0,-1.001751,291.8187
2024-12-02 0630,-4.906333333,72.27766667,0,-13.35881,-0.1281578,297.5722,1.230788,1.439345,0.5438534,0.4311246,-9.760899,-10.74058,-11.03458,-10.87335,0,-0.7727863,284.858
2024-12-02 0700,-5.347,71.05933333,1.38,-20.48256,0.07673495,294.9089,1.201282,1.407504,0.5437313,0.4311003,-9.802369,-10.78936,-11.0504,-10.89767,0,-0.9186151,275.4217
2024-12-02 0730,-5.758,72.802,22.15333333,-35.94073,0.3903609,291.9615,1.178121,1.385417,0.5436392,0.4310797,-9.904514,-10.86637,-11.11262,-10.94991,0,-0.745322,257.1565
2024-12-02 0800,-6.003666667,75.28133333,84.35666667,-33.56381,2.220634,290.5488,1.142793,1.351325,0.5435559,0.4310447,-10.02859,-10.97659,-11.20728,-11.02579,0,9.36525,249.8404
2024-12-02 0830,-6.307333333,73.999,176.4766667,-25.49868,7.508449,290.1685,1.105985,1.317913,0.5433999,0.4310198,-10.15743,-11.09906,-11.32442,-11.12132,0,36.16764,236.0106
2024-12-02 0900,-6.399666667,65.39866667,384.8166667,7.305581,21.14534,291.0074,1.084501,1.30064,0.5432787,0.4310012,-10.28019,-11.211,-11.44503,-11.23188,0,97.5561,221.9022
2024-12-02 0930,-6.238,64.686,548.8566667,90.98997,55.0619,294.0068,1.090103,1.328934,0.5431662,0.4309734,-10.38716,-11.33834,-11.55277,-11.34431,0,234.5104,205.5483
2024-12-02 1000,-5.821666667,63.60133333,654.98,136.2614,68.5862,298.3282,1.126409,1.380506,0.5430756,0.4309528,-10.48751,-11.42003,-11.65476,-11.45644,0,299.2088,203.9669
2024-12-02 1030,-5.513333333,62.10166667,715.9066667,164.0811,74.74554,303.9729,1.140673,1.401308,0.5429307,0.4309328,-10.57085,-11.48335,-11.74313,-11.57035,0,334.7085,208.091
2024-12-02 1100,-5.778666667,63.86833333,654.3366667,187.6741,75.6063,309.6729,1.143131,1.396128,0.5427922,0.4309022,-10.59785,-11.51139,-11.76176,-11.66175,0,348.49,224.4633
2024-12-02 1130,-5.274666667,61.96966667,849.6433333,238.2614,87.75587,314.6117,1.130501,1.376135,0.5426859,0.4308751,-10.55784,-11.48074,-11.68871,-11.69445,0,408.5625,232.0665
2024-12-02 1200,-4.855,60.253,859.08,239.2205,95.49325,318.9172,1.180801,1.436564,0.5425608,0.4308572,-10.44033,-11.39919,-11.5477,-11.65101,0,436.5441,217.0868
2024-12-02 1230,-4.806333333,59.27166667,784.59,227.1268,89.78897,320.263,1.250237,1.50919,0.5424506,0.4308366,-10.2939,-11.27428,-11.37237,-11.55297,0,413.2906,223.8882
2024-12-02 1300,-4.508333333,59.017,828.14,222.2849,93.69961,321.726,1.267691,1.535081,0.5423822,0.430791,-10.13399,-11.13155,-11.17562,-11.42467,0,423.7846,213.9259
2024-12-02 1330,-4.448666667,58.452,825.19,228.7534,101.7809,323.6764,1.334101,1.599086,0.5423577,0.4307846,-9.950684,-10.99688,-10.9627,-11.27319,0,443.9067,210.304
2024-12-02 1400,-4.285333333,58.11,711.61,213.0641,101.4114,325.9657,1.354762,1.631129,0.542468,0.4307446,-9.749823,-10.87496,-10.71334,-11.10332,0,429.0059,211.4353
2024-12-02 1430,-4.374333333,58.403,532.09,163.4103,87.41629,322.6613,1.415848,1.697048,0.5425459,0.430719,-9.535538,-10.75787,-10.34031,-10.90883,0,358.9296,214.5583
2024-12-02 1500,-4.709333333,60.03533333,380.3266667,120.2945,68.9014,318.018,1.451063,1.722221,0.5426765,0.4306833,-9.297125,-10.64396,-9.904942,-10.67817,0,282.8392,224.3747
2024-12-02 1530,-5.338333333,62.767,164.3033333,54.27476,44.68672,307.904,1.406744,1.667878,0.5428434,0.4306563,-9.052857,-10.51637,-9.550963,-10.41758,0,182.3911,224.4743
