"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","C day-1","C day-1","hPa day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","-","-","-","days day-1","days day-1","%","%","%"
"2024-01-20",1,-20.2207,-1.75089,73.9882,0.350587,144.487,-4.27055,263.774,0.34375,-4.14616,0.1875,0.716556,0.166667,56.5254,0.166667,1.0178,0.416667,-0.24298,0.0958371,0.774822,0.395062,3.87824,1.75607,0.0967191,10.0394,11.0036,0.245306,0.251875,137.978,0.218428,0.28566,0,12.4837,-0.368975,4.98689,-0.358228,0.0619104,1356.61,-1.05526,-0.251922,0.0993639,0.803335,0.4096,0.33508,0.151724,0.100278,0.867405,528.174,11.7747,12.09,3311.47,0.226466,0.296172,-5.78624,-0.208932,0.803083,0,0,81.2,83.3,58.3
"2024-01-21",1,-8.17273,-1.4668,69.8129,1.07798,119.397,-5.36396,247.185,0.33774,-19.6105,0.0208333,10.391,0.104167,826.974,0.104167,1.01257,0.0416667,-0.266887,0.0956483,0.745681,0.404957,6.05049,2.93888,0.111758,9.1012,10.8722,0.372411,0.315013,233.978,0.181428,0.194114,0,10.3159,-0.463446,4.67325,-1.69435,0.897779,19847.4,-1.04983,-0.276708,0.0991682,0.773122,0.419859,0.522762,0.25392,0.115871,0.786344,521.865,17.8757,15.1206,5615.47,0.188104,0.201258,-1.88726,-1.12706,1.71879,0,0,97.9,89.6,95.8
"2024-01-22",1,-0.623479,-0.828848,88.6945,0.637795,57.8483,-1.01958,151.587,0.336155,-7.42868,0.0625,2.24755,0.0625,179.693,0.0625,0.89668,0.229167,-0.158177,0.0961414,0.738503,0.427473,4.3734,2.70197,0.137075,4.18382,9.82537,0.353323,0.296942,215.525,0.20849,0.247447,0,4.99809,-0.0880915,2.86589,-0.641838,0.194189,4312.62,-0.929678,-0.163998,0.0996794,0.76568,0.443204,0.377861,0.23345,0.142119,0.361482,471.618,16.9595,14.2532,5172.6,0.216162,0.256553,-3.30523,-0.433796,5.08164,0,0,93.8,93.8,77.1
"2024-01-23",1,0.475979,-0.43578,97.77,0.148146,58.3281,14.7931,152.508,0.340035,1.22076,0.3125,1.11524,0.4375,89.176,0.4375,0.732164,0.645833,-0.038879,0.0962736,0.693285,0.441642,4.78393,2.89236,0.204777,5.17612,9.24681,0.283085,0.345256,231.286,0.299595,0.460457,0,5.03954,1.27812,2.8833,0.105473,0.096357,2140.22,-0.759108,-0.0403097,0.0998165,0.718798,0.457894,0.413332,0.2499,0.212313,0.447217,443.847,13.5881,16.5723,5550.87,0.31062,0.477402,1.09461,0.477416,0.157911,0,0,68.8,56.2,35.4
"2024-01-24",1,0.93175,-0.235154,99.1922,0.0552639,69.5103,28.9881,170.77,0.346926,-0.697013,0.1875,1.46922,0.291667,117.531,0.291667,0.923148,0.645833,-0.300384,0.0962365,0.622763,0.448967,5.05371,3.18283,0.182844,6.44693,8.99952,0.266493,0.384412,254.661,0.262631,0.298109,0,6.00569,2.50457,3.22856,-0.0602219,0.12694,2820.74,-0.95712,-0.311438,0.099778,0.64568,0.465489,0.436641,0.274996,0.189573,0.557015,431.977,12.7917,18.4518,6111.86,0.272296,0.30908,-0.474412,1.90263,0.0266386,0,0,81.2,70.8,35.4
"2024-01-25",1,0.75334,-0.0479992,98.4744,0.1001,31.4205,13.5467,88.0968,0.355006,-0.365599,0.0833333,1.34027,0.25,107.199,0.25,0.935011,0.541667,-0.332301,0.0964513,0.60271,0.45584,4.09251,2.01296,0.139903,2.44467,8.86166,0.25506,0.388657,160.96,0.237216,0.283868,0,2.71473,1.17044,1.66555,-0.0315877,0.115799,2572.76,-0.96942,-0.34453,0.100001,0.62489,0.472615,0.353593,0.17392,0.145051,0.211219,425.36,12.2429,18.6555,3863.03,0.245945,0.294315,-0.27278,1.3751,0.071949,0,0,91.7,75,45.8
"2024-01-26",1,0.434722,0.00121106,95.1427,0.318308,45.1146,20.0398,115.761,0.363774,2.72895,0.0833333,4.9177,0.3125,393.339,0.3125,0.821965,0.395833,-0.225184,0.0939787,0.596781,0.457657,4.26522,2.58924,0.137619,3.50309,8.33043,0.283879,0.436137,207.028,0.22648,0.239488,0,3.8979,1.73144,2.18857,0.235781,0.42489,9440.14,-0.852213,-0.233471,0.0974371,0.618742,0.474499,0.368515,0.22371,0.142683,0.302667,399.861,13.6262,20.9346,4968.68,0.234814,0.248301,0.554923,0.643119,0.381573,0,0,91.7,68.8,60.4
"2024-01-27",1,-0.532472,0.0818839,92.3512,0.517725,98.8468,22.9502,217.843,0.388888,11.2067,0.125,5.69974,0.3125,456.369,0.3125,0.676456,0.520833,-0.0829224,0.095095,0.593533,0.460659,6.052,4.45341,0.167695,8.89628,6.50332,0.332402,0.541145,356.18,0.265538,0.340196,0,8.54037,1.9829,4.11851,0.968259,0.492458,10952.9,-0.70135,-0.085974,0.0985945,0.615375,0.477612,0.522893,0.384774,0.173867,0.768639,312.159,15.9553,25.975,8548.33,0.27531,0.352715,1.96618,0.337134,0.736658,0,0,87.5,68.8,47.9
"2024-01-28",1,0.419521,0.152057,80.1004,1.57847,147.53,41.8486,292.057,0.432887,12.8635,0.229167,11.8346,0.3125,950.865,0.3125,0.798554,0.625,-0.199119,0.0971532,0.599434,0.463277,8.08986,4.9402,0.272241,9.44451,4.24055,0.411801,0.550818,396.181,0.334157,0.505052,0,12.7466,3.61572,5.52161,1.11141,1.02251,22820.8,-0.82794,-0.206447,0.100728,0.621494,0.480326,0.698964,0.426834,0.28226,0.816006,203.546,19.7665,26.4393,9508.35,0.346454,0.523638,1.08694,0.47917,0.590177,0,0,77.1,68.8,37.5
"2024-01-29",1,2.3504,0.166221,82.3958,-9999,131.182,59.5046,269.483,0.488712,3.51064,0.604167,6.678,0.666667,538.454,0.666667,0.868492,0.6875,-0.248752,0.0997405,0.619741,0.463802,18.9261,8.71002,0.235646,9.95466,3.44777,0.495288,0.55435,700.77,0.346802,0.502288,0,11.3342,5.1412,5.09482,0.30332,0.576979,12922.9,-0.900452,-0.257906,0.103411,0.642547,0.48087,1.63521,0.752546,0.244318,0.860082,165.493,23.7738,26.6088,16818.5,0.359564,0.520772,0.525703,0.655436,0.171224,0,0,39.6,33.3,31.2
