"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","C day-1","C day-1","hPa day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","-","-","-","days day-1","days day-1","%","%","%"
"2024-01-24",1,0.93175,-0.235154,99.1922,0.0552639,69.5103,28.9881,170.77,-0.697013,0.1875,1.46922,0.291667,117.531,0.291667,0.898496,0.729167,-0.350094,0.453847,0.548401,2.13801,5.06525,3.18847,0.208895,6.44693,8.99952,0.266493,0.384412,255.11,1.85473,1.76089,0,6.00569,2.50457,3.22856,-0.0602219,0.12694,2820.74,-0.93156,-0.362977,0.470549,0.568582,2.21669,0.437637,0.275484,0.216583,0.557015,431.977,12.7917,18.4518,6122.64,1.92298,1.82569,-0.474412,1.90263,0.0266386,0,0,81.2,70.8,27.1
"2024-01-25",1,0.75334,-0.0479992,98.4744,0.1001,31.4205,13.5467,88.0968,-0.365599,0.0833333,1.34027,0.25,107.199,0.25,0.900654,0.645833,-0.37379,0.422518,0.526863,2.14058,4.10191,2.01652,0.16351,2.44467,8.86166,0.25506,0.388657,161.243,1.84713,2.05316,0,2.71473,1.17044,1.66555,-0.0315877,0.115799,2572.76,-0.933798,-0.387546,0.438067,0.546252,2.21935,0.354405,0.174227,0.169527,0.211219,425.36,12.2429,18.6555,3869.83,1.9151,2.12872,-0.27278,1.3751,0.071949,0,0,91.7,75,35.4
"2024-01-26",1,0.434722,0.00121106,95.1427,0.318308,45.1146,20.0398,115.761,2.72895,0.0833333,4.9177,0.3125,393.339,0.3125,0.804116,0.4375,-0.260192,0.414826,0.543924,2.10742,4.27487,2.59389,0.146815,3.50309,8.33043,0.283879,0.436137,207.398,1.49248,1.21863,0,3.8979,1.73144,2.18857,0.235781,0.42489,9440.14,-0.833707,-0.269767,0.430091,0.56394,2.18498,0.369349,0.224112,0.152218,0.302667,399.861,13.6262,20.9346,4977.56,1.5474,1.26348,0.554923,0.643119,0.381573,0,0,91.7,68.8,56.2
"2024-01-27",1,-0.532472,0.0818839,92.3512,0.517725,98.8468,22.9502,217.843,11.2067,0.125,5.69974,0.3125,456.369,0.3125,0.663573,0.520833,-0.0996801,0.43897,0.563892,2.08152,6.06555,4.46133,0.17289,8.89628,6.50332,0.332402,0.541145,356.811,1.73871,1.5081,0,8.54037,1.9829,4.11851,0.968259,0.492458,10952.9,-0.687992,-0.103348,0.455124,0.584644,2.15812,0.524063,0.385459,0.179252,0.768639,312.159,15.9553,25.975,8563.46,1.8027,1.5636,1.96618,0.337134,0.736658,0,0,87.5,68.8,47.9
"2024-01-28",1,0.419521,0.152057,80.1004,1.57847,147.53,41.8486,292.057,12.8635,0.229167,11.8346,0.3125,950.865,0.3125,0.792585,0.625,-0.206628,0.453405,0.585957,2.05223,8.10783,4.9489,0.281766,9.44451,4.24055,0.411801,0.550818,396.875,2.22067,2.22017,0,12.7466,3.61572,5.52161,1.11141,1.02251,22820.8,-0.821752,-0.214232,0.47009,0.607521,2.12775,0.700517,0.427585,0.292135,0.816006,203.546,19.7665,26.4393,9525,2.30239,2.30188,1.08694,0.47917,0.590177,0,0,77.1,68.8,37.5
"2024-01-29",1,2.3504,0.166221,82.3958,-9999,131.182,59.5046,269.483,3.51064,0.604167,6.678,0.666667,538.454,0.666667,0.861545,0.6875,-0.251583,0.443187,0.609962,2.00904,18.9871,8.72474,0.244172,9.95466,3.44777,0.495288,0.55435,701.947,2.27678,2.2214,0,11.3342,5.1412,5.09482,0.30332,0.576979,12922.9,-0.89325,-0.260842,0.459496,0.632408,2.08297,1.64049,0.753817,0.253157,0.860082,165.493,23.7738,26.6088,16846.7,2.36057,2.30315,0.525703,0.655436,0.171224,0,0,39.6,33.3,31.2
"2024-01-30",1,2.08083,0.218958,86.2844,-9999,143.353,45.9163,286.504,9.72927,0.541667,10.2122,0.5625,821.599,0.5625,0.973522,0.625,-0.335569,0.437127,0.637953,1.97456,10.9853,6.69736,0.22734,9.4344,3.57546,0.552183,0.62577,536.617,1.91789,1.23872,0,12.3857,3.96716,5.41663,0.840609,0.882333,19718.4,-1.00935,-0.347918,0.453214,0.66143,2.04722,0.949132,0.578652,0.235706,0.815132,171.622,26.5048,30.037,12878.8,1.98847,1.2843,0.952711,0.512108,0.434301,0,0,45.8,43.8,37.5
"2024-01-31",1,4.02345,0.192284,87.0636,1.60403,142.394,75.529,289.189,17.4185,0.458333,12.8916,0.583333,1040.48,0.583333,0.961851,0.6875,-0.303118,0.431513,0.658733,1.92166,19.4019,7.75279,0.306475,9.05859,3.95698,0.690083,0.774263,623.965,2.29654,2.2736,0,12.3029,6.5257,5.46739,1.50496,1.11383,24971.6,-0.997247,-0.314272,0.447393,0.682975,1.99238,1.67632,0.669841,0.317753,0.782662,189.935,33.124,37.1646,14975.2,2.38105,2.35726,1.35115,0.425324,0.401304,0,0,54.2,41.7,31.2
"2024-02-01",1,4.95535,0.15056,90.5839,1.03752,79.9043,38.2692,170.008,5.0542,0.5,5.27967,0.520833,425.658,0.520833,0.76079,0.708333,-0.0830782,0.40389,0.677712,1.86585,16.0621,9.43299,0.332545,7.47431,4.73188,1.11058,1.0406,760.316,2.08262,2.02116,0,6.90373,3.30645,3.21416,0.436683,0.456164,10215.8,-0.788787,-0.0861355,0.418753,0.702652,1.93452,1.38776,0.81501,0.344783,0.64578,227.13,53.3078,49.9489,18247.6,2.15926,2.09553,0.957295,0.510909,0.270031,0,0,50,47.9,29.2
"2024-02-02",1,6.62821,0.516828,87.0323,1.46434,135.866,63.9289,281.959,12.031,0.0208333,7.45741,0.0833333,603.664,0.0833333,1.02421,0.270833,-0.284892,0.406243,0.73932,1.89755,11.9053,6.93614,0.187759,9.50148,4.61068,1.37548,1.00957,558.417,1.45002,1.06534,0,11.7388,5.52345,5.3307,1.03948,0.64432,14487.9,-1.0619,-0.295376,0.421192,0.766527,1.96738,1.02862,0.599283,0.194668,0.820927,221.313,66.0229,48.4596,13402,1.50338,1.10454,1.6133,0.382659,0.304845,0,1,97.9,91.7,72.9
"2024-02-03",1,4.94447,0.866411,95.4199,-9999,17.0244,11.9892,44.3628,-13.6171,0.416667,3.17026,0.5,254.618,0.5,0.967588,0.479167,-0.183832,0.331144,0.783755,1.92233,6.57844,3.30862,0.12563,1.67089,4.72505,1.23611,1.04124,265.554,1.67084,0.296423,1.778,1.47091,1.03587,0.838718,-1.17651,0.273911,6110.83,-1.0032,-0.190597,0.34333,0.812597,1.99307,0.568377,0.285865,0.130254,0.144365,226.802,59.3333,49.9794,6373.29,1.73233,0.307332,-4.29524,-0.303468,-0.871351,0,0,58.3,50,52.1
"2024-02-04",1,2.44094,1.61189,95.7526,0.33136,54.2012,15.3695,117.764,5.76548,0.0208333,8.79707,0.0416667,705.503,0.0416667,1.05725,0.0625,-0.205642,0.357328,0.85161,2.03103,8.65183,4.6331,0.108136,4.38655,4.63458,1.31145,1.07606,371.26,1.49275,0.958682,0,4.68298,1.32792,2.22644,0.498138,0.760067,16932.1,-1.09616,-0.213209,0.370477,0.88295,2.10577,0.747518,0.4003,0.112116,0.378998,222.46,62.9496,51.6507,8910.25,1.54768,0.993961,0.655387,0.604088,0.9475,0,0,97.9,95.8,93.8
"2024-02-05",1,1.71428,1.74005,86.1951,1.39068,147.525,52.495,290.756,32.1395,0.229167,14.4238,0.229167,1159.27,0.229167,1.04187,0.5,-0.190303,0.381838,0.851564,2.00631,15.894,7.18275,0.181616,10.7713,4.43739,1.25528,1.00503,576.516,1.8732,1.30174,0,12.7462,4.53557,5.49701,2.77685,1.24622,27822.4,-1.08021,-0.197306,0.39589,0.882901,2.08014,1.37324,0.62059,0.188299,0.930636,212.995,60.2533,48.2416,13836.4,1.94213,1.34965,2.22822,0.309768,0.887004,0,0,77.1,77.1,52.1
"2024-02-06",1,3.66801,1.66245,84.4793,1.7344,107.26,48.4786,229.986,18.2203,0.208333,10.4659,0.458333,843,0.458333,0.991425,0.541667,-0.164328,0.365183,0.827097,1.93405,12.5564,9.08422,0.226183,9.04661,4.57891,1.35357,1.05594,731.809,2.18158,1.33544,0,9.26731,4.18855,4.3481,1.57423,0.904254,20232,-1.02791,-0.170375,0.378622,0.857534,2.00522,1.08487,0.784877,0.234507,0.781627,219.788,64.9711,50.6849,17563.4,2.26186,1.38459,1.74092,0.364842,0.591728,0,0,79.2,54.2,50
