"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","C week-1","C week-1","hPa week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","-","-","-","days week-1","days week-1","%","%","%"
"23_24",7,21.7608,19.8599,61.4323,-9999,287.2,173.42,610.886,0.560564,2.69691,0.208333,159.676,0.22619,13089.2,0.22619,0.982184,0.410714,10.9566,9.9794,11.9388,10.0221,4.48294,9.1688,0.49074,5.40657,1.47476,0.417254,1.53282,751.793,0.324229,0.251809,4.572,173.699,104.884,80.8454,1.63109,96.5718,2198980,-7.1283,79.5189,72.4265,86.6472,72.7365,2.71128,5.54529,3.5616,3.26989,495.518,140.197,515.028,126301,2.35312,1.82753,0.0168899,0.983391,0.936299,1,7,79.5,77.4,61.6
"24_24",7,25.0759,21.4792,56.5646,-9999,296.886,183.515,631.548,0.473001,16.4089,0.113095,141.208,0.127976,11597.8,0.127976,0.95906,0.303571,8.81904,9.49851,9.7781,10.7697,4.76899,8.05532,0.412484,5.35013,1.59793,0.47153,1.56085,661.528,0.180229,0.14792,17.272,179.557,110.99,83.5799,9.92409,85.4023,1948430,-6.96048,64.0051,68.9364,70.9656,78.1619,2.88428,4.87186,2.99365,3.23576,536.904,158.434,524.447,111137,1.30803,1.07354,0.116204,0.895894,0.858874,3,7,88.7,87.2,70.5
"25_24",7,24.6807,23.3127,74.0587,-9999,232.257,150.763,504.282,0.462836,17.606,0.139881,114.235,0.14881,9372.94,0.14881,2.839,0.193452,6.49888,7.46947,9.33788,10.3441,5.10928,6.88765,0.401195,5.58355,1.61545,0.516498,1.63757,565.218,0.147499,0.123719,14.986,140.469,91.1814,66.7373,10.6481,69.0891,1574650,-20.6043,47.1663,54.2104,67.7706,75.0733,3.0901,4.16565,2.91171,3.37693,542.791,173.543,550.223,94956.7,1.07049,0.8979,0.154122,0.86646,0.874491,0,7,86,85.1,80.7
"26_24",7,25.1608,24.6532,66.7285,-9999,283.543,169.774,620.703,0.392542,62.3548,0.127976,85.822,0.139881,7050.03,0.139881,2.47341,0.235119,4.50418,4.61812,6.97759,7.05869,5.96093,7.88977,0.403223,5.138,1.75936,0.489854,1.63518,647.594,0.279303,0.208977,9.652,171.487,102.679,82.1447,37.7122,51.9051,1184400,-17.951,32.6895,33.5164,50.6406,51.2292,3.60517,4.77174,2.92643,3.10746,591.145,164.591,549.421,108796,2.02707,1.51667,0.726559,0.579187,0.87279,0,7,87.2,86,76.5
"27_24",7,21.2287,-9999,80.6164,-9999,231.573,-9999,486.353,-9999,30.8581,0.58631,92.5104,0.60119,7568.17,0.60119,3.71854,0.699405,5.24499,4.1582,8.96353,7.55673,9.2172,11.2601,0.648392,5.48434,1.35768,0.532468,1.01654,921.622,0.303045,14.6357,160.782,140.055,-9999,64.3646,18.663,55.9503,1271450,-26.9877,38.066,30.1785,65.0537,54.8437,5.57457,6.81009,4.70577,3.31693,456.179,178.909,341.556,154832,2.19938,106.22,0.333564,0.74987,-9999,0,7,43.5,41.7,33.9
"28_24",7,24.2884,-9999,75.8277,-9999,313.622,-9999,661.627,-9999,42.8707,0.261905,129.188,0.294643,10607.8,0.294643,3.26146,0.419643,7.04127,7.15856,10.3027,10.1813,3.76442,5.88205,0.446468,5.05082,1.4226,0.414613,0.866406,482.877,0.380654,20.0753,0,189.678,-9999,87.5607,25.9282,78.133,1782120,-23.6704,51.1027,51.954,74.7731,73.8921,2.27672,3.55747,3.24029,3.05474,477.992,139.31,291.113,81123.4,2.76263,145.698,0.331847,0.750837,-9999,0,7,75,71.4,58.9
"29_24",7,22.1696,24.1553,78.5022,6.90834,236.636,144.202,506.336,0.482738,34.324,0.190476,94.7057,0.25,7756.99,0.25,3.01707,0.339286,6.24614,7.47415,9.26322,10.8211,3.52855,5.31626,0.475524,5.31582,1.37625,0.400682,0.842102,434.876,0.267011,2.58954,5.08,143.117,87.2136,67.0092,20.7592,57.278,1303170,-21.8967,45.332,54.2444,67.2287,78.5354,2.13407,3.21527,3.45116,3.215,462.419,134.629,282.946,73059.1,1.93786,18.7938,0.362428,0.733984,0.894782,0,7,81,75,66.1
"30_24",7,24.4036,24.6158,80.231,7.56324,271.29,165.65,571.408,0.437465,48.6518,0.229167,108.211,0.267857,8885.94,0.267857,1.46897,0.386905,5.71282,7.63475,7.18179,10.0109,5.02962,5.91449,0.407702,5.07435,1.26961,0.395996,0.831932,485.634,0.365049,6.85608,0,164.076,100.185,75.621,29.4246,65.4458,1492840,-10.6612,41.4614,55.41,52.1226,72.655,3.04191,3.57708,2.95894,3.06897,426.591,133.055,279.529,81586.5,2.64938,49.7587,0.449603,0.689844,0.94695,0,7,77.1,73.2,61.6
"31_24",7,25.4325,-9999,79.2055,-9999,288.303,-9999,620.252,-9999,50.8758,0.232143,112.233,0.261905,9226.11,0.261905,2.65107,0.380952,4.7098,6.71003,7.36088,10.6319,5.96304,7.61128,0.351398,5.16297,1.50911,0.354945,0.902192,625.985,0.532399,21.9298,48.006,174.365,-9999,82.085,30.7697,67.8786,1549990,-19.2404,34.1819,48.6987,53.4223,77.1623,3.60644,4.6033,2.55031,3.12257,507.061,119.262,303.137,105166,3.86394,159.158,0.453305,0.688087,-9999,0,7,77.1,74.1,63.1
"32_24",7,19.6111,23.1088,77.5975,6.18204,215.303,123.781,467.704,0.503523,46.7492,0.199405,88.3188,0.217262,7218.68,0.217262,2.71375,0.360119,5.02462,5.93269,7.73837,8.72236,3.45617,4.89668,0.420103,4.77851,1.70362,0.506259,0.862951,400.2,0.66643,6.8153,14.224,130.216,74.8627,61.8966,28.2739,53.4152,1212740,-19.6953,36.4667,43.0571,56.162,63.3034,2.09029,2.96151,3.04894,2.89004,572.417,170.103,289.951,67233.5,4.83668,49.4627,0.529323,0.653884,1.09119,0,7,80.1,78.3,64.3
