"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","C week-1","C week-1","hPa week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","-","-","-","days week-1","days week-1","%","%","%"
"20_24",7,18.6166,15.8889,64.7873,9.43439,248.427,138.075,523.084,-2.42949,0.157738,125.167,0.1875,10232.9,0.1875,-1.20759,0.333333,9.77374,10.6166,8.56614,9.85367,4.9391,7.98982,0.485718,5.18698,1.58906,0.511368,1.31845,652.484,0.143352,0.129518,16.764,150.249,83.5078,69.2257,-1.46936,75.7008,1719130,8.76424,70.9339,77.0511,62.1697,71.514,2.98717,4.83224,3.52515,3.13708,533.925,171.82,442.999,109617,1.04039,0.939992,-0.0194101,1.01979,0.888917,5,7,84.2,81.2,66.7
"21_24",7,19.1101,17.1355,66.5312,-9999,287.26,172.971,610.196,-0.283872,0.238095,159.564,0.270833,13032.3,0.270833,-1.80632,0.35119,9.96156,10.5859,8.15524,9.1045,5.19362,8.25639,0.392711,5.73749,1.49613,0.412566,1.29185,674.596,0.142477,0.139595,82.042,173.735,104.613,80.7542,-0.171686,96.5045,2189430,13.1095,72.297,76.8279,59.1875,66.0768,3.1411,4.99346,2.85014,3.47004,502.7,138.622,434.062,113332,1.03404,1.01313,-0.00177904,1.00178,0.920848,6,7,76.2,72.9,64.9
"22_24",7,19.8838,18.0093,67.7148,-9999,246.137,144.331,536.788,-1.13207,0.178571,130.422,0.196429,10662.5,0.196429,-0.5063,0.342262,9.80728,10.7215,9.30097,10.9083,4.43296,7.24207,0.419356,5.24388,1.39831,0.4404,1.29173,591.705,0.142852,0.123172,49.53,148.863,87.2912,71.0392,-0.684676,78.879,1791290,3.67452,71.1773,77.8121,67.5028,79.1681,2.68105,4.38,3.04352,3.1715,469.831,147.974,434.02,99406.4,1.03676,0.893936,-0.00868008,1.00876,0.895787,4,7,82.1,80.4,65.8
"23_24",7,21.7608,19.8599,61.4323,-9999,287.2,173.42,610.886,2.69691,0.208333,159.676,0.22619,13089.2,0.22619,0.684067,0.422619,10.9428,9.89721,11.6269,10.004,4.49081,9.18193,0.477598,5.40657,1.47476,0.417254,1.53282,752.865,0.201385,0.178941,4.572,173.699,104.884,80.8454,1.63109,96.5718,2198980,-4.96469,79.4184,71.83,84.3831,72.6047,2.71604,5.55323,3.46622,3.26989,495.518,140.197,515.028,126481,1.46157,1.29868,0.0168899,0.983391,0.936299,2,7,79.5,77.4,60.7
"24_24",7,25.0759,21.4792,56.5646,-9999,296.886,183.515,631.548,16.4089,0.113095,141.208,0.127976,11597.8,0.127976,0.892197,0.303571,8.79034,9.52468,9.68254,10.8886,4.7773,8.06724,0.39727,5.35013,1.59793,0.47153,1.56085,662.502,0.154457,0.144551,17.272,179.557,110.99,83.5799,9.92409,85.4023,1948430,-6.47521,63.7968,69.1263,70.272,79.0252,2.88931,4.87907,2.88323,3.23576,536.904,158.434,524.447,111300,1.12098,1.04909,0.116204,0.895894,0.858874,3,7,88.7,87.2,70.5
"25_24",7,24.6807,23.3127,74.0587,-9999,232.257,150.763,504.282,17.606,0.139881,114.235,0.14881,9372.94,0.14881,2.76173,0.199405,6.4246,7.90902,9.18632,11.1568,5.11825,6.89775,0.384124,5.58355,1.61545,0.516498,1.63757,566.043,0.127419,0.114647,14.986,140.469,91.1814,66.7373,10.6481,69.0891,1574650,-20.0435,46.6271,57.4005,66.6706,80.9715,3.09551,4.17176,2.78782,3.37693,542.791,173.543,550.223,95095.2,0.924756,0.832061,0.154122,0.86646,0.874491,0,7,86,85.1,80.1
"26_24",7,25.1608,24.6532,66.7285,-9999,283.543,169.774,620.703,62.3548,0.127976,85.822,0.139881,7050.03,0.139881,2.41538,0.235119,4.38506,4.58305,6.80044,7.00903,5.97145,7.90142,0.376628,5.138,1.75936,0.489854,1.63518,648.546,0.215638,0.190092,9.652,171.487,102.679,82.1447,37.7122,51.9051,1184400,-17.5299,31.825,33.262,49.3549,50.8687,3.61153,4.77878,2.73342,3.10746,591.145,164.591,549.421,108956,1.56501,1.37961,0.726559,0.579187,0.87279,0,7,87.2,86,76.5
"27_24",7,21.2287,-9999,80.6164,-9999,231.573,-9999,486.353,30.8581,0.58631,92.5104,0.60119,7568.17,0.60119,3.48476,0.708333,4.73667,3.95657,8.22143,7.17169,9.23472,11.2764,0.595206,5.48434,1.35768,0.532468,1.01654,922.948,0.413249,21.9229,160.782,140.055,-9999,64.3646,18.663,55.9503,1271450,-25.291,34.3768,28.7152,59.6678,52.0493,5.58516,6.81994,4.31976,3.31693,456.179,178.909,341.556,155055,2.99919,159.107,0.333564,0.74987,-9999,0,7,43.5,41.7,33
"28_24",7,24.2884,-9999,75.8277,-9999,313.622,-9999,661.627,42.8707,0.261905,129.188,0.294643,10607.8,0.294643,3.13082,0.443452,6.61754,6.92714,9.74836,9.84608,3.77119,5.89054,0.393138,5.05082,1.4226,0.414613,0.866406,483.571,0.360366,26.7229,0,189.678,-9999,87.5607,25.9282,78.133,1782120,-22.7222,48.0275,50.2744,70.7497,71.4589,2.28082,3.5626,2.85324,3.05474,477.992,139.31,291.113,81239.9,2.61539,193.944,0.331847,0.750837,-9999,0,7,75,71.4,56.5
"29_24",7,22.1696,24.1553,78.5022,6.90834,236.636,144.202,506.336,34.324,0.190476,94.7057,0.25,7756.99,0.25,2.86999,0.377976,6.31797,7.55047,9.18797,10.9811,3.53481,5.32391,0.401462,5.31582,1.37625,0.400682,0.842102,435.499,0.25892,1.4575,5.08,143.117,87.2136,67.0092,20.7592,57.278,1303170,-20.8293,45.8533,54.7983,66.6826,79.6968,2.13785,3.2199,2.91365,3.215,462.419,134.629,282.946,73163.8,1.87914,10.578,0.362428,0.733984,0.894782,0,7,81,75,62.2
